game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
MIN200204190,9,0,gutir001,CH,HP.1-2,ej,manuc101,M,younl901,Warning to pitcher
MIN200205010,7,0,tynej001,BX,53/BG,ej,sturt001,P,welkt901,Call at 1B
MIN200206050,8,1,koskc001,CSBBBC,K/C,ej,manuc101,M,joycj901,Balls and strikes
MIN200206100,8,0,jonea002,CCX,54(1)3/GDP,ej,cox-b103,M,fichm901,Call at 1B
MIN200206100,12,1,jonej003,CBFC,K/C,ej,jonej003,P,bellw901,Balls and strikes
MIN200206240,2,1,mohrd001,SSX,53/G,ej,gardr001,M,gormb901,Balls and strikes
MIN200207140,1,1,guzmc001,CBBSC,K/C,ej,gardr001,M,guccc901,Called third strike
MIN200207140,1,1,guzmc001,CBBSC,K/C,ej,guzmc001,P,guccc901,Called third strike (Threw equipment)
MIN200207300,3,1,guzmc001,BX,8/L8,ej,pettg001,C,cedeg901,Balk call
MIN200208160,2,1,miend001,CBSS,K,ej,hawkl001,P,tscht901,Arguing position of bullpen chair
MIN200209110,6,0,higgb001,CCBX,53/G,ej,higgb001,P,wintm901,Balls and strikes (threw helmet)
MON200204190,9,0,ceder001,BFBFFX,43/G,ej,burnj001,P,carlm901,Bench jockeying
MON200204270,7,1,vidrj001,CSBBFBFC,K/C,ej,vidrj001,P,marqa901,Called third strike
MON200206040,8,1,guerv001,BSBBX,S8.2-H,ej,cordw001,P,westj901,Balls and strikes
MON200207170,7,1,guerv001,CFX,13/G,ej,robif103,M,iassd901,Balls and strikes
NYA200205180,5,1,spens001,BCBBCFX,8/F8,ej,gardr001,M,darlg901,Unknown reason
NYA200205200,5,0,delgc001,SBX,6/P6,ej,connm801,C,dimum901,Balls and strikes
NYA200207200,7,1,ventr001,CFX,8/F8,ej,littg801,M,relic901,Checked swing
NYA200207210,9,0,nixot001,FCB,CS3(25),ej,offej001,P,hudsm901,Call at 3B
NYA200209110,9,1,ventr001,BFSBC,K/C,ej,torrj101,M,herna901,Called third strike
NYA200209110,9,1,ventr001,BFSBC,K/C,ej,ventr001,P,herna901,Called third strike
NYN200205090,8,0,bondb001,SBCBC,K/C,ej,bondb001,P,iassd901,Called third strike
NYN200206140,9,1,ceder001,CSX,53/G,ej,ceder001,P,bellw901,Call at 1B
NYN200207310,5,1,ordor001,FH,HP.1-2,ej,mannj001,P,poncl901,Intentional HBP
NYN200208040,7,1,ordor001,X,53/G,ej,brenb001,M,hudsm901,Call at 2B
NYN200208180,3,0,karre001,BBFFFBC,K+SB3;SB2,ej,karre001,P,cedeg901,Called third strike
NYN200209271,4,1,burnj001,CCBC,K/C,ej,burnj001,P,nelsj901,Called third strike
OAK200204030,7,1,chave001,BBBB,W.2-3;1-2,ej_ERROR,narrj001,wegnm901,Call at 3B,FIXME
OAK200204240,7,1,tejam001,BCFBX,53/G,ej,peter801,C,monte901,FIXME
OAK200205230,8,0,singc001,H,HP,ej,magnm001,P,froeb901,FIXME
OAK200208170,9,0,clayr001,H,HP.1-2,ej,howea001,M,drakr901,FIXME
OAK200208170,9,0,clayr001,H,HP.1-2,ej,mecij001,P,drakr901,FIXME
PHI200204050,7,1,andem003,H,HP,ej,olsek001,P,cuzzp901,Intentional HBP
PHI200204050,7,1,andem003,H,HP,ej,torbj101,M,cuzzp901,Intentional HBP
PHI200205080,8,0,berkl001,FCBC,K/C,ej,berkl001,P,vanol901,Called strike three
PHI200206200,9,1,burrp001,CBBBSFC,K/C,ej,bowal001,M,hollm901,Called third strike
PHI200206200,9,1,burrp001,CBBBSFC,K/C,ej,burrp001,P,hollm901,Called third strike
PHI200207070,7,1,andem003,FCBH,HP,ej,eiscj001,P,emmep901,Intentional HBP
PHI200207070,7,1,andem003,FCBH,HP,ej,robif103,M,emmep901,Intentional HBP
PHI200207070,7,1,andem003,FCBH,HP,ej,poled101,C,emmep901,Intentional HBP
PHI200209080,1,1,giamj002,BX,31/G,ej,bowal001,M,barkl901,Balls and strikes
PHI200209090,7,0,alomr001,BBCFBB,W.3-H;2-3;1-2,ej,timlm001,P,vanol901,Balls and strikes
PHI200209101,3,1,burrp001,BBBCX,D7/G5L.1XH(742),ej,vukoj101,C,fostm901,Call at HP
PHI200209240,4,1,polap001,SFX,13/G,ej,cox-b103,M,wegnm901,Balls and strikes
PIT200205120,6,1,wilsc003,BBCBSX,43/G,ej,willj107,M,wolfj901,Balls and strikes
PIT200205300,9,1,kendj001,BBCCX,13/G,ej,kendj001,P,hollm901,Balls and strikes
PIT200205300,9,1,kendj001,BBCCX,13/G,ej,mccll001,M,hollm901,Balls and strikes
PIT200208140,5,1,kendj001,BBX,8/F8,ej,mccll001,M,tscht901,Balls and strikes
PIT200209250,9,0,gonzr002,SFC,K/C,ej,sandt101,C,emmep901,Call at 1B
SDN200204160,6,1,kotsm001,BBCFFX,S8/8S,ej,bochb002,M,everm901,Balls and strikes on Nevin
SDN200204160,6,1,nevip001,BCSBS,K,ej,nevip001,P,everm901,Balls and strikes
SDN200205050,8,1,nevip001,SX,7/F7D,ej,kendj001,P,barrm901,Balls and strikes (while catching)
SDN200205050,8,1,nevip001,SX,7/F7D,ej,mccll001,M,barrm901,Balls and strikes
SDN200206190,7,1,matoj001,BCX,D7/7D.2-H,ej,castf001,P,welkb901,Balk call
SDN200207130,2,0,martt002,CBX,3/G#,ej,martt002,P,buckc901,Call at 1B
SEA200207010,4,0,beltc001,CBFBC,K/C,ej,beltc001,P,eddid901,Called third strike
SEA200207300,9,1,cirij001,BBBCCC,K/C,ej,cirij001,P,mealj901,Called third strike
SEA200209160,2,0,rodri001,FSBBC,K/C,ej,rodri001,P,carlm901,Called third strike
SEA200209170,9,1,marte001,CFBBBFB,W,ej,powej001,P,hirsj901,Balls and strikes
SEA200209180,9,1,davib003,SX,143/G,ej,pinil001,M,buckc901,Call at 1B
SEA200209210,1,1,marte001,CCFFX,43/G,ej,perrg001,C,guccc901,Balls and strikes
SEA200209260,8,0,ellim001,BBCBFB,W.1-2,ej,nelsj001,P,mcclt901,Balls and strikes
SFN200205030,5,1,bondb001,BBBCX,7/F7,ej,boona001,P,laynj901,Call at 1B
SFN200205040,8,1,belld002,BCFC,K/C,ej,belld002,P,laynj901,Called third strike
SFN200208060,9,0,gonza001,BCFBFC,K/C,ej,gonza001,P,klemj901,Called third strike
SFN200209150,9,0,kingg001,BFCBBX,S8/8S.2-H,ej,baked002,M,hirsm901,Call at HP
SFN200209150,9,0,kingg001,BFCBBX,S8/8S.2-H,ej,righd001,C,hirsm901,Call at HP
SFN200209150,9,0,kingg001,BFCBBX,S8/8S.2-H,ej,santb001,P,hirsm901,Call at HP
SLN200206160,9,0,beltc001,BSBBFFFC,K/C,ej,beltc001,P,cuzzp901,Called third strike
SLN200207180,1,1,pujoa001,CFBC,K/C,ej,larut101,M,westj901,Unknown reason
SLN200207270,6,0,bellm002,CBFH,HP,ej,larut101,M,iassd901,Intentional HBP
SLN200207270,6,0,bellm002,CBFH,HP,ej,timlm001,P,iassd901,Intentional HBP
SLN200208070,6,1,difem001,BBFB,CSH(242),ej,larut101,M,froeb901,Balls and strikes
SLN200208230,8,0,andem003,FBFFFFC,K/C,ej,andem003,P,barrt901,Called third strike
SLN200209060,6,0,aloum001,FFBC,K/C,ej,aloum001,P,cuzzp901,Balls and strikes
SLN200209270,1,0,sexsr001,SCBFC,K/C,ej,sexsr001,P,timmt901,Balls and strikes
TBA200204230,7,1,vaugg001,CBFC,K/C,ej,vaugg001,P,welkb901,Called third strike
TBA200205280,7,1,grieb001,CBX,3/G#,ej,pinil001,M,shulj901,Pointing out replays on video board
TBA200205290,7,1,smitj001,BSCBFS,K,ej,mcrah001,M,everm901,Balls and strikes
TBA200207180,9,0,ramim002,BH,HP,ej,mcrah001,M,marqa901,Intentional HBP
TBA200207180,9,0,ramim002,BH,HP,ej,yan-e001,P,marqa901,Intentional HBP
TBA200209070,9,1,hallt001,CBBBB,W.3-H;2-3;1-2,ej,parkc002,P,wintm901,Balls and strikes
TBA200209090,7,1,escaf001,H,HP,ej,littg801,M,crawj901,Intentional HBP by Derek Lowe
TBA200209090,7,1,escaf001,H,HP,ej,lowed001,P,crawj901,Intentional HBP
TBA200209100,8,0,merll001,H,HP,ej,gardl001,P,gormb901,Intentional HBP
TBA200209100,8,0,merll001,H,HP,ej,mcrah001,M,gormb901,Intentional HBP
TEX200204120,8,0,cirij001,CFS,K,ej,cirij001,P,fleta901,Checked swing
TEX200204130,2,0,sierr001,CX,46(1)3/GDP,ej,pinil001,M,cousd901,Call at 1B
TEX200205070,7,0,thomf001,BSX,8/F8,ej,haseb001,P,cedeg901,Bench jockeying
TEX200205280,5,0,hockd001,BCSFFBBS,K,ej,narrj001,M,gibsg901,Running off field in intimidating manner
TEX200205280,5,0,hockd001,BCSFFBBS,K,ej,rodra001,P,gibsg901,Alex Rodriguez ejection
TEX200207060,8,1,gonzj002,BCCBC,K/C,ej,gonzj002,P,nelsj901,Called third strike
TEX200207070,8,1,palmr001,SBBCFX,8/F8,ej,narrj001,M,reynj901,Balls and strikes
TEX200207170,6,1,rodri001,FBX,9/F9,ej,smits801,C,younl901,Balls and strikes
TEX200207270,7,1,rodri001,X,64(1)/FO,ej,howea001,M,danlk901,Opponent's delay in sending up PH
TOR200204080,8,1,delgc001,BCCBBC,K/C,ej,delgc001,P,mealj901,Called third strike
TOR200206050,8,1,wellv001,CFBFFC,K/C,ej,wellv001,P,demud901,Called third strike
TOR200206060,7,1,lawrj001,CBBFFX,63/G,ej,kennj001,P,danlk901,Balls and strikes
TOR200206060,7,1,lawrj001,CBBFFX,63/G,ej,mcrah001,M,danlk901,Balls and strikes
TOR200207150,7,1,delgc001,BBBCH,HP,ej,herno001,P,welkt901,Intentional HBP
TOR200207150,7,1,delgc001,BBBCH,HP,ej,torrj101,M,welkt901,Intentional HBP
ANA200306300,3,0,gland001,CFBFX,S8/L,ej,smits801,C,cedeg901,Fair/foul call on HR
ARI200304120,7,0,youne001,BX,E5/TH/SH/BG.2-3;1-2,ej,brenb001,M,dimum901,Call at 1B
ARI200304120,7,1,gonzl001,CFS,K,ej,gonzl001,P,cousd901,Checked swing
ARI200304150,3,1,bautd001,CFBH,HP,ej,bautd001,P,culbf901,Threatening pitcher with bat after HBP
ARI200305030,1,0,jonec004,CBBBCFFFB,W.2-3;1-2,ej,brenb001,M,buckc901,Balls and strikes
ARI200305040,1,0,jonec004,BX,36(1)1/GDP,ej,cox-b103,M,randt901,Balls and strikes
ARI200305180,7,0,loftk001,CBCC,K,ej,loftk001,P,gibsg901,Called third strike
ARI200305260,7,1,spivj001,BBCH,HP.2-3;1-2,ej,bochb002,M,wintm901,HBP call
ARI200306060,6,0,philb001,B+1SFX,S7/L.2-H;1-2,ej,wedge001,M,wendh902,Balls and strikes
ARI200307110,7,0,bondb001,BBBB,W.2-3;1-2,ej,brenb001,M,mcclt901,Balls and strikes
ARI200307110,7,0,bondb001,BBBB,W.2-3;1-2,ej,rodre801,C,mcclt901,Balls and strikes (from bench)
ARI200308200,9,1,mondr002,BSB.SC,K,ej,mondr002,P,dimum901,Called third strike (threw bat)
ARI200308240,6,1,gonzl001,CFBS,K,ej,gonzl001,P,kellk901,Check swing
ARI200308240,8,1,hammr001,SBFFFBS,K,ej,brenb001,M,kellj901,Check swing
ATL200307060,3,0,carrj001,1CB1N.FX,S7/L.2-H,ej,cox-b103,M,cuzzp901,Balk call
ATL200308010,6,0,belta001,BBBB,W.1-2,ej,burnj001,P,kellj901,Balls and strikes (from bench)
ATL200308020,8,0,lodup001,BBCSC,K,ej,lodup001,P,westj901,Called third strike
ATL200308020,8,0,lodup001,BBCSC,K,ej,tracj101,M,westj901,Called third strike
ATL200308020,9,0,burnj001,.BSSC,K,ej,burnj001,P,westj901,Called third strike
ATL200309052,4,0,hernj001,BFBX,63/G,ej,fickr001,P,welkb901,Fair/foul call
ATL200309110,1,1,shefg001,F>B,CS3(25),ej,cox-b103,M,meric901,Call at 3B
BAL200304220,8,1,surhb001,BCX,3/G,ej,surhb001,P,coope901,Balls and strikes
BAL200305030,7,1,hairj002,BX,4/P,ej,penat001,M,fleta901,Balls and strikes
BAL200305180,4,0,hallt001,X,S7/L-.2-H,ej,elial101,C,herna901,Balls and strikes
BAL200306190,6,0,woodc001,BFBX,S6/G.1-2,ej,hargm001,M,vanol901,Call at 2B
BAL200306290,4,0,belld002,CCBB,PB.1-2,ej,wilem101,C,monte901,Balls and strikes
BAL200307010,2,1,gil-g001,BBCSFFFFC,K,ej,crowt101,C,cuzzp901,Balls and strikes
BAL200307060,10,0,wellv001,BC.X,S6/G,ej,hargm001,M,fleta901,Call at 1B
BAL200308150,9,0,boona001,FFBBX,HR/7/F.2-H;1-H,ej,hargm001,M,tscht901,Arguing HR was foul
BAL200309020,8,0,longt002,CCBS,K,ej,longt002,P,hudsm901,Argued third strike was foul tip
BAL200309080,7,1,cruzd001,SX,D7/G.3-H;2-H;1-H,ej,varij001,P,poncl901,Fair/foul call
BAL200309080,7,1,cruzd001,SX,D7/G.3-H;2-H;1-H,ej,lowed001,P,cuzzp901,Bench jockeying
BAL200309160,7,0,willb002,.CFBB1X,E1/TH1/G.1-2,ej,hargm001,M,culbf901,Call at 1B
BOS200305010,1,0,sweem002,C*BBBFX,HR/7/F.1-H,ej,fossc001,P,cuzzp901,Throwing behind batter after HR
BOS200305010,1,0,sweem002,C*BBBFX,HR/7/F.1-H,ej,littg801,M,cuzzp901,Fossum's ejection
BOS200305010,8,1,varij001,..B,SB2,ej,difem001,P,cuzzp901,Balls and strikes
BOS200306150,7,0,biggc001,1X,1E4/SH/BG.1-2;B-1,ej,littg801,M,fostm901,Call at 1B
BOS200306260,5,0,higgb001,CCBBC,K,ej,higgb001,P,millb901,Called third strike
BOS200306260,5,0,higgb001,CCBBC,K,ej,trama001,M,millb901,Called third strike on Higginson
BOS200306270,9,0,fox-a001,BB...CBFFFB,W,ej,almoh001,P,carlm901,Throwing behind batter after warning
BOS200306270,9,0,fox-a001,BB...CBFFFB,W,ej,littg801,M,carlm901,Almonte threw behind batter
BOS200308230,4,0,olerj001,BX,DGR/8/F,ej,melvb001,M,wolfj901,Balls and strikes
BOS200308260,7,1,walkt002,BCBX,D9/F,ej,toscc801,M,timmt901,Call at 2B
BOS200309220,7,0,robeb003,BCX,S7/G,ej,matol001,P,eddid901,Balls and strikes
CHA200304260,6,0,miend001,H,HP,ej,garlj001,P,froeb901,Intentional HBP
CHA200304260,6,0,miend001,H,HP,ej,riosa001,P,froeb901,Verbal exchange with LaTroy Hawkins
CHA200304260,6,0,miend001,H,HP,ej,hawkl001,P,froeb901,Verbal exchange with Armando Rios
CHA200304270,1,0,guzmc001,CX,S1/G,ej,manuj101,M,eddid901,Call at 1B
CHA200305130,8,1,lee-c001,CFBX,96(1)/FO/G,ej,manuj101,M,relic901,Call at 1B
CHA200305150,9,0,hairj002,BH,HP,ej,colob001,P,craft901,Intentional HBP
CHA200305150,9,0,hairj002,BH,HP,ej,manuj101,M,craft901,Intentional HBP
CHA200305190,9,0,conij001,CFC,K,ej,manuj101,M,herna901,Fair/foul call
CHA200306170,6,1,ordom001,X,9/F,ej,thomf001,P,coope901,Called third strike
CHA200306190,8,1,valej003,FBFBBFB,W,ej,manuj101,M,hollm901,Balls and strikes
CHA200307020,1,0,huntt001,B11CB.BX,HR/F7L.2-H,ej,manuj101,M,westj901,Fair/foul call on HR
CHA200308040,6,0,beltc001,FBH,HP,ej,gintm001,P,wegnm901,Intentional HBP
CHA200308040,6,0,beltc001,FBH,HP,ej,manuj101,M,wegnm901,Intentional HBP
CHA200308200,5,1,valej003,CBS>B,PO1(23),ej,daubb001,P,reilm901,Call at 1B
CHA200309030,8,1,graft001,...CFBFC,K,ej,manuj101,M,dimum901,Called third strike
CHA200309080,4,0,guzmc001,FFFX,3/G,ej,gardr001,M,davig901,Fair/foul call
CHA200309090,9,0,koskc001,B*B*BB,W.1-2,ej,panij001,P,carlm901,Balls and strikes after removal
CHA200309220,5,1,alomr001,X,53/BG.1-2,ej,manuj101,M,randt901,Call at 1B
CHN200305090,7,1,gonza001,CFFS,K,ej,larut101,M,wintm901,Balls and strikes
CHN200305280,2,1,milld002,FFX,HR/7/F.3-H;1-H,ej,mccll001,M,hohnb901,Call at 1B
CHN200305300,5,1,aloum001,BBFCS,K,ej,aloum001,P,gormb901,Balls and strikes
CHN200306030,1,1,sosas001,BCBFFBX,43/G,ej,sosas001,P,mcclt901,Using corked bat
CHN200306240,8,1,oleat001,FBCBBB,W,ej,peree002,P,fleta901,Balls and strikes
CHN200306240,8,1,oleat001,FBCBBB,W,ej,yoste001,M,fleta901,Balls and strikes
CHN200307310,6,1,grudm001,BBB,WP.3-H;2-3;1-2,ej,chrij002,P,holbs901,Balls and strikes
CHN200309022,7,1,aloum001,BFSFFBB>X,7/F,ej,alfoa001,P,klemj901,Fair/foul call
CHN200309022,7,1,aloum001,BFSFFBB>X,7/F,ej,aloum001,P,klemj901,Fair/foul call
CHN200309040,3,1,sosas001,CFBFS,K,ej,sosas001,P,hohnb901,Checked swing
CHN200309040,5,0,tagus001,BBCBX,63/G-,ej,rothl101,C,hohnb901,Balls and strikes
CIN200304260,8,1,dunna001,.BBBB,W.2-3;1-2,ej,bochb002,M,dimum901,Balls and strikes
CIN200305200,3,1,dunna001,CSB.BS,K,ej,cox-b103,M,welkb901,Balls and strikes
CIN200305210,4,1,guilj001,CFX,S9/L-.2-H;1-2,ej,cox-b103,M,danlk901,Balls and strikes
CIN200306050,6,0,giamj001,SFF*B>C,K+SB3;SB2,ej,torrj101,M,drecb901,Balls and strikes
CIN200306130,6,1,dunna001,B,WP.1-2,ej,silvc001,P,eddid901,Throwing at Adam Dunn
CIN200306130,6,1,dunna001,B,WP.1-2,ej,dunna001,P,eddid901,Charging mound
CIN200306130,6,1,dunna001,B,WP.1-2,ej,cases001,P,eddid901,Bench-clearing brawl
CIN200306130,6,1,dunna001,B,WP.1-2,ej,bowal001,M,eddid901,Bench-clearing brawl
CIN200306130,6,1,dunna001,B,WP.1-2,ej,mesaj001,P,eddid901,Bench-clearing brawl
CIN200306170,9,1,castj004,CCX,3/P3F,ej,boonb001,M,westj901,Throwing equipment
CIN200306190,7,1,wilsp001,B,WP.1-2,ej,farnk001,P,barkl901,Fighting with Paul Wilson
CIN200306190,7,1,wilsp001,B,WP.1-2,ej,wilsp001,P,barkl901,Fighting with Kyle Farnsworth
CIN200307040,9,1,taylr001,.CSBBBC,K,ej,taylr001,P,mealj901,Called third strike
CIN200308150,10,1,penaw001,BM1LBN,BK.1-2,ej,lamog101,C,wintm901,Balk call
CLE200304140,8,0,tuckm001,BH,HP.1-2,ej,sadlc001,P,crawj901,Intentional HBP
CLE200304140,8,0,tuckm001,BH,HP.1-2,ej,wedge001,M,crawj901,Intentional HBP
CLE200304150,5,1,lawtm002,CH,HP,ej,daalo001,P,onorb901,Intentional HBP
CLE200305300,5,1,burke001,BFBS1>FB+1>F>B,W.1-2,ej,manuj101,M,wegnm901,Balls and strikes
CLE200305300,6,0,jimed001,CCX,8/F,ej,kimmb101,C,wegnm901,Balls and strikes
CLE200306130,6,1,geruj001,BFBCX,13/G,ej,pereo001,P,rapue901,Call at 3B
CLE200306130,6,1,geruj001,BFBCX,13/G,ej,colbj101,C,rapue901,Call at 3B
CLE200307100,10,0,soria001,CBCBS,K,ej,wedge001,M,dimum901,Balls and strikes
CLE200308200,7,0,guzmc001,CFBFX,4/SF/P.3-H;2-3,ej,laket001,P,nelss901,Call at HP
CLE200309150,5,1,blakc001,CB1F1FBX,64(1)/FO/G,ej,bellb001,C,bellw901,Bench jockeying
COL200304080,7,0,peree001,CSBH,HP.3-H;2-3;1-2,ej,hurdc001,M,dimum901,Arguing batter swung at HBP
COL200304090,7,0,martt002,CH,HP,ej,cruzn001,P,dimum901,Intentional HBP
COL200304090,7,0,martt002,CH,HP,ej,hurdc001,M,dimum901,Intentional HBP
COL200305140,6,0,floyc001,.FCC,K,ej,floyc001,P,froeb901,Called third strike
COL200305160,7,1,estab001,.CSS,K,ej,robif103,M,kellj901,Balls and strikes
COL200305170,3,1,bellr002,BCBBCB,W,ej,day-z001,P,westj901,Foreign object on hand
COL200306210,8,1,heltt001,.CCBBFS,K,ej,hinca001,P,younl901,Balls and strikes (while catching)
COL200308100,7,1,walkl001,..CBX,D8/L.1XH(862),ej,hurdc001,M,onorb901,Call at HP
COL200308220,1,0,shefg001,BCFC,K,ej,shefg001,P,hollm901,Called third strike
COL200308220,1,0,shefg001,BCFC,K,ej,cox-b103,M,hollm901,Called third strike on Sheffield
COL200309230,1,1,wilsp002,CX,S1/G-.2-3;1-2,ej,brenb001,M,cousd901,Arguing batter ran outside baseline
DET200305160,6,0,cirij001,CB1F*B.C,K,ej,cirij001,P,vanol901,Called third strike
DET200306130,5,0,paytj001,BFSFBX,64(1)3/GDP,ej,apodb101,C,timmt901,Call at 1B (from the bench)
DET200307080,9,0,ordom001,SBBFS,K,ej,ordom001,P,guccc901,Check swing
DET200308100,1,1,higgb001,BBC1X,6/P,ej,gibsk001,C,eddid901,Higginson ejection
DET200308100,1,1,higgb001,BBC1X,6/P,ej,higgb001,P,eddid901,Threw bat after popping up
DET200309160,6,1,higgb001,CCFBBFS,K,ej,higgb001,P,hollm901,Checked swing
FLO200304230,11,0,podss001,LFC,K,ej,nelsd101,C,scotd901,Fair/foul call
FLO200305100,2,0,stync001,BCBCS,K,ej,hurdc001,M,cousd901,Protesting order to speed up game
FLO200306070,5,1,gonza002,BX,S7/L.2-H,ej,mckej801,M,cedeg901,Obstruction non-call
FLO200306200,9,0,huffa001,BSFFC,K,ej,huffa001,P,guccc901,Called third strike
FLO200306200,9,0,huffa001,BSFFC,K,ej,pinil001,M,guccc901,Called third strike
FLO200306200,9,0,huffa001,BSFFC,K,ej,mclaj801,C,mealj901,Called third strike
FLO200306220,7,1,encaj001,BCBFFC,K,ej,encaj001,P,mealj901,Called third strike
FLO200307290,7,1,rodri001,BFBBCFC,K,ej,rodri001,P,nelss901,Called third strike
FLO200308030,6,1,rodri001,.BBSB>C.X,53/G,ej,rodri001,P,klemj901,Balls and strikes
FLO200308120,5,0,grees001,BX,D8/F.1-H,ej,rodri001,P,wendh902,Call at HP
FLO200308310,4,0,zeilt001,BCFC,K,ej,zeilt001,P,welkb901,Balls and strikes
FLO200308310,7,0,mateh001,..BBBCCB,W,ej,vargc001,P,welkb901,Bench jockeying (on DL)
FLO200309010,8,0,chave002,.BCBBCFFB,W,ej,mccrt102,C,hollm901,Bench jockeying
HOU200304130,7,0,pujoa001,FFFBC,K,ej,pujoa001,P,darlg901,Called third strike
HOU200304290,7,1,berkl001,CCBFC,K,ej,berkl001,P,craft901,Called third strike
HOU200305010,1,1,hidar001,CFBBBS,K,ej,cox-b103,M,fostm901,Balls and strikes
HOU200305060,1,1,bagwj001,BCBFBC,K,ej,willj107,M,barrt901,Balls and strikes
HOU200305170,7,1,berkl001,CCS,K,ej,berkl001,P,iassd901,Check swing
HOU200305250,2,0,harrl001,X,S8/G.3-H;2-H;B-2(TH),ej,ausmb001,P,carlm901,Call at HP
HOU200306060,8,1,kentj001,FCBX,S7/G.3-H;2-H;1-3,ej,pinil001,M,hollm901,Call at HP
HOU200307260,6,1,bagwj001,BBCX,HR/89/F,ej,kentj001,P,hollm901,Check swing
HOU200307260,6,1,bagwj001,BBCX,HR/89/F,ej,willj107,M,hollm901,Check swing
HOU200308200,6,0,aloum001,CFB.FC,K,ej,aloum001,P,reynj901,Called third strike
HOU200308300,8,1,chavr001,FX,54(1)/FO/G,ej,willj107,M,fostm901,Call at 2B
HOU200309120,9,1,vizcj001,CX,7/F,ej,pagem001,C,poncl901,Checked swing
HOU200309130,3,0,vinaf001,CBBBCX,9/F,ej,mathm001,P,crawj901,Umpire's hand on back
HOU200309130,3,0,vinaf001,CBBBCX,9/F,ej,duncd101,C,crawj901,Matheny's ejection
KCA200306170,6,1,guiea001,H,HP.2-3;1-2,ej,romej001,P,poncl901,Intentional HBP
KCA200306170,6,1,guiea001,H,HP.2-3;1-2,ej,gardr001,M,poncl901,Intentional HBP
KCA200307040,9,0,yound001,CFC,K,ej,yound001,P,herna901,Called third strike
KCA200307050,6,0,sanca003,X,S2/BG,ej,difem001,P,marsr901,Fair/foul call
KCA200307170,6,0,wilsd001,BX,S9/L.3-H;1-2,ej,harvk001,P,emmep901,Call at 1B
KCA200307170,8,1,feblc001,CBFH,HP,ej,sorir001,P,westj901,Intentional HBP
KCA200307170,8,1,feblc001,CBFH,HP,ej,melvb001,M,westj901,Intentional HBP
KCA200307180,1,0,boonb002,CCFBFS,K,ej,boonb002,P,emmep901,Balls and strikes (threw equipment)
KCA200307200,10,0,suzui001,.CFFFH,HP.2-3;1-2,ej,grimj001,P,drakr901,Intentional HBP
KCA200307200,10,0,suzui001,.CFFFH,HP.2-3;1-2,ej,penat001,M,drakr901,Intentional HBP
KCA200307210,9,0,hatts001,BCBBCFFB,W.3-H;2-3;1-2,ej,penat001,M,cousd901,Balls and strikes
KCA200308160,1,0,piera001,BFBFX,D6/P.2-H;1-H;B-3(THH),ej,difem001,P,laynj901,Call at HP
LAN200307010,9,0,lorem001,CCBX,S7/F.2-H;1-3(THH),ej,tracj101,M,barrt901,Call at HP
LAN200307230,4,0,bellr002,BFB+1FH,HP.3-H;2-3;1-2,ej,tracj101,M,drakr901,Claimed batter let himself be hit
LAN200308190,7,1,burnj001,CCBX,8/F,ej,guerv001,P,ripps901,Home run call
LAN200308290,6,1,robed001,IIII,IW,ej,tracj101,M,wegnm901,Fair/foul call
LAN200309160,7,1,iztuc001,X,13/BG.2-3,ej,tracj101,M,carlm901,Call at 1B
MIL200305040,7,1,vandj001,..BCSB1FB>C,K,ej,vandj001,P,iassd901,Balls and strikes
MIL200307040,8,0,uribj002,BCFBFFBB,W.3-H;2-3;1-2,ej,estrl001,P,carlm901,Balls and strikes
MIL200307040,8,0,uribj002,BCFBFFBB,W.3-H;2-3;1-2,ej,yoste001,M,carlm901,Balls and strikes
MIL200307080,9,1,peree002,FSFX,7!/F,ej,wills801,C,froeb901,Fair/foul call
MIL200307080,10,1,podss001,CBX,S7/G+,ej,mccll001,M,wintm901,Checked swing
MIL200309240,8,0,vinaf001,BBBCSFFFC,K,ej,vinaf001,P,hollm901,Called third strike
MIN200304050,10,0,hinse001,CFBFS,K,ej,hinse001,P,marsr901,Check swing (Slammed bat on plate)
MIN200304200,3,0,willb002,BBBX,HR/7/F,ej,gardr001,M,brinj901,Balls and strikes
MIN200304300,1,1,guzmc001,BX,13/BG/RINT.1-1,ej,gardr001,M,davig901,Interference call
MIN200304300,6,0,hallt001,H,HP,ej,radkb001,P,davig901,Intentional HBP
MIN200304300,6,0,ordor001,BBBCCX,9/F,ej,biern001,P,davig901,Throwing at batter
MIN200304300,6,1,huntt001,CX,54(1)3/GDP,ej,ullgs101,C,davig901,
MIN200304300,6,1,huntt001,CX,54(1)3/GDP,ej,pinil001,M,davig901,
MIN200306290,3,1,guzmc001,BBFX,6/P,ej,gardr001,M,guccc901,Balls and strikes
MIN200307030,7,0,bradm001,H,HP,ej,rogek001,P,coope901,Intentional HBP
MIN200307030,7,0,bradm001,H,HP,ej,gardr001,M,coope901,Intentional HBP
MIN200307040,3,1,koskc001,FB1BX,HR/8/F.1-H,ej,davij005,P,hollm901,Fighting with Torii Hunter
MIN200307040,3,1,koskc001,FB1BX,HR/8/F.1-H,ej,huntt001,P,hollm901,Fighting with Jason Davis
MIN200307040,3,1,koskc001,FB1BX,HR/8/F.1-H,ej,wedge001,M,hollm901,Aftermath of brawl
